Generating an artificial network
Generating 10 inlets
Starting the simulation with a timestep of 0.001s for 12 times with 4 jobs.
         1055133 function calls (1031970 primitive calls) in 68.918 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.003    0.000 fontconfig_pattern.py:121(parse)
        9    0.000    0.000    0.000    0.000 fontconfig_pattern.py:140(_family)
        9    0.000    0.000    0.000    0.000 fontconfig_pattern.py:153(<listcomp>)
        9    0.000    0.000    0.000    0.000 fontconfig_pattern.py:152(_families)
        9    0.000    0.000    0.000    0.000 pyparsing.py:3812(parseImpl)
      9/3    0.000    0.000    0.000    0.000 pyparsing.py:4243(streamline)
        9    0.000    0.000    0.000    0.000 pyparsing.py:4662(__str__)
        9    0.000    0.000    0.000    0.000 ops.py:235(_func_slash_method_wrapper)
        9    0.000    0.000    0.000    0.000 ops.py:256(<listcomp>)
        9    0.000    0.000    0.000    0.000 ops.py:259(<listcomp>)
        9    0.000    0.000    0.001    0.000 ops.py:253(inject_reduce_methods)
        9    0.000    0.000    0.000    0.000 cftimeindex.py:171(_field_accessor)
        9    0.000    0.000    0.000    0.000 _version.py:78(_compare_version)
        9    0.000    0.000    0.000    0.000 _version.py:114(_compare)
        9    0.000    0.000    0.002    0.000 decorator.py:225(decorate)
        9    0.000    0.000    0.000    0.000 parallel.py:209(__init__)
        9    0.000    0.000    0.080    0.009 parallel.py:735(dispatch_one_batch)
        9    0.000    0.000    0.000    0.000 _parallel_backends.py:36(__init__)
        9    0.000    0.000    0.000    0.000 _parallel_backends.py:120(get_nested_backend)
        9    0.000    0.000    0.000    0.000 _parallel_backends.py:258(compute_batch_size)
        9    0.000    0.000    0.000    0.000 manage_plugins.py:268(<listcomp>)
        9    0.000    0.000    0.000    0.000 manage_plugins.py:269(<listcomp>)
        9    0.000    0.000    0.006    0.001 manage_plugins.py:217(use_plugin)
        8    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        8    0.000    0.000    0.000    0.000 {method 'clear' of 'collections.OrderedDict' objects}
        8    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        8    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        8    0.000    0.000    0.000    0.000 {method 'capitalize' of 'str' objects}
        8    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        8    0.003    0.000    0.003    0.000 {method 'readlines' of '_io._IOBase' objects}
        8    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        8    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:269(_module_repr)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:710(module_repr)
        8    0.000    0.000    0.000    0.000 posixpath.py:52(normcase)
        8    0.000    0.000    0.001    0.000 posixpath.py:391(realpath)
        8    0.000    0.000    0.000    0.000 posixpath.py:400(_joinrealpath)
        8    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
        8    0.000    0.000    0.000    0.000 sre_parse.py:837(_parse_flags)
        8    0.000    0.000    0.000    0.000 locale.py:384(normalize)
        8    0.000    0.000    0.000    0.000 network_script.py:480(<genexpr>)
        8    0.000    0.000    0.000    0.000 argparse.py:850(__init__)
        8    0.000    0.000   67.493    8.437 threading.py:264(wait)
        8    0.000    0.000    0.000    0.000 tokenize.py:350(detect_encoding)
        8    0.000    0.000    0.001    0.000 tokenize.py:443(open)
        8    0.000    0.000    0.001    0.000 hashlib.py:73(__get_builtin_constructor)
        8    0.000    0.000    0.000    0.000 pyparsing.py:644(__getattr__)
        8    0.000    0.000    0.000    0.000 pyparsing.py:3508(__str__)
        8    0.000    0.000    0.000    0.000 pyparsing.py:3935(__init__)
        8    0.000    0.000    0.000    0.000 pyparsing.py:4783(<genexpr>)
        8    0.000    0.000    0.000    0.000 typing.py:783(<genexpr>)
        8    0.000    0.000    0.001    0.000 numeric.py:1701(cross)
        8    0.000    0.000    0.000    0.000 __init__.py:99(CFunctionType)
        8    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        8    0.000    0.000    0.000    0.000 pickle.py:189(__init__)
        8    0.000    0.000    0.000    0.000 pickle.py:193(start_framing)
        8    0.000    0.000    0.000    0.000 pickle.py:196(end_framing)
        8    0.000    0.000    0.000    0.000 {built-in method numpy.promote_types}
        8    0.000    0.000    0.000    0.000 pickle.py:374(__init__)
        8    0.000    0.000    0.017    0.002 pickle.py:426(dump)
        8    0.000    0.000    0.001    0.000 pickle.py:812(save_list)
        8    0.000    0.000    0.001    0.000 pickle.py:825(_batch_appends)
        8    0.000    0.000    0.000    0.000 getlimits.py:92(_register_type)
        8    0.000    0.000    0.000    0.000 core.py:2551(_arraymethod)
        8    0.000    0.000    0.000    0.000 core.py:8007(__init__)
        8    0.000    0.000    0.000    0.000 core.py:8012(getdoc)
        8    0.000    0.000    0.000    0.000 version.py:69(__ge__)
        8    0.000    0.000    0.000    0.000 relativedelta.py:13(<genexpr>)
        8    0.000    0.000    0.001    0.000 base.py:5240(_make_logical_function)
        8    0.000    0.000    0.000    0.000 sparse.py:1707(_create_comparison_method)
        8    0.000    0.000    0.000    0.000 datetimelike.py:171(_join_i8_wrapper)
        8    0.000    0.000    0.000    0.000 range.py:615(_make_evaluate_binop)
        8    0.000    0.000    0.000    0.000 __init__.py:587(_get_home)
        8    0.000    0.000    0.000    0.000 rcsetup.py:237(validate_fonttype)
        8    0.000    0.000    0.000    0.000 rcsetup.py:344(validate_color_or_inherit)
        8    0.000    0.000    0.000    0.000 fontconfig_pattern.py:146(_name)
        8    0.000    0.000    0.000    0.000 pyparsing.py:1788(clear)
        8    0.000    0.000    0.000    0.000 pyparsing.py:5707(<genexpr>)
        8    0.000    0.000    0.000    0.000 rrule.py:76(<genexpr>)
        8    0.000    0.000    0.000    0.000 context.py:349(set_spawning_popen)
        8    0.000    0.000    0.000    0.000 process.py:85(<genexpr>)
        8    0.000    0.000    0.000    0.000 process.py:90(_check_closed)
        8    0.000    0.000    0.000    0.000 process.py:204(authkey)
        8    0.000    0.000    0.000    0.000 mathtext.py:1860(__init__)
        8    0.000    0.000    0.000    0.000 heaps.py:143(func)
        8    0.000    0.000    0.000    0.000 heaps.py:140(_inherit_doc)
        8    0.000    0.000    0.000    0.000 nonlin.py:219(_set_doc)
        8    0.000    0.000    0.000    0.000 parallel.py:274(delayed_function)
        8    0.000    0.000    0.000    0.000 parallel.py:264(delayed)
        8    0.000    0.000    0.000    0.000 parallel.py:295(__init__)
        8    0.000    0.000    0.079    0.010 parallel.py:698(_dispatch)
        8    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
        8    0.000    0.000    0.079    0.010 _parallel_backends.py:508(apply_async)
        8    0.000    0.000    0.000    0.000 _parallel_backends.py:562(__init__)
        8    0.000    0.000    0.000    0.000 _memmapping_reducer.py:288(__reduce__)
        8    0.000    0.000    0.000    0.000 queue.py:121(put)
        8    0.000    0.000    0.000    0.000 queue.py:212(_put)
        8    0.000    0.000    0.000    0.000 _base.py:312(__init__)
        8    0.000    0.000    0.000    0.000 _base.py:388(add_done_callback)
        8    0.000    0.000    0.000    0.000 connection.py:142(_check_writable)
        8    0.000    0.000    0.006    0.001 connection.py:181(send_bytes)
        8    0.000    0.000    0.006    0.001 connection.py:365(_send)
        8    0.000    0.000    0.006    0.001 connection.py:390(_send_bytes)
        8    0.000    0.000    0.000    0.000 reduction.py:57(register)
        8    0.000    0.000    0.001    0.000 reduction.py:184(__init__)
        8    0.000    0.000    0.018    0.002 reduction.py:233(dump)
        8    0.000    0.000    0.000    0.000 cloudpickle.py:272(__init__)
        8    0.000    0.000    0.017    0.002 cloudpickle.py:281(dump)
        8    0.000    0.000    0.000    0.000 cloudpickle.py:877(inject_addons)
        8    0.000    0.000    0.079    0.010 reusable_executor.py:148(submit)
        8    0.000    0.000    0.006    0.001 process_executor.py:149(wakeup)
        8    0.000    0.000    0.000    0.000 process_executor.py:244(__init__)
        8    0.000    0.000    0.019    0.002 process_executor.py:949(_start_queue_management_thread)
        8    0.000    0.000    0.072    0.009 process_executor.py:1011(_ensure_executor_running)
        8    0.000    0.000    0.079    0.010 process_executor.py:1019(submit)
        8    0.000    0.000    0.000    0.000 manage_plugins.py:145(find_available_plugins)
        8    0.000    0.000    0.000    0.000 synchronize.py:103(__enter__)
        8    0.000    0.000    0.000    0.000 synchronize.py:106(__exit__)
        7    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        7    0.000    0.000    0.000    0.000 {method '_is_owned' of '_thread.RLock' objects}
        7    0.000    0.000    0.000    0.000 {method '_acquire_restore' of '_thread.RLock' objects}
        7    0.000    0.000    0.000    0.000 {method '_release_save' of '_thread.RLock' objects}
        7    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        7    0.000    0.000    0.001    0.000 __init__.py:2256(declare_namespace)
        7    0.000    0.000    0.343    0.049 __init__.py:5(<module>)
        7    0.000    0.000    0.000    0.000 opcode.py:47(jrel_op)
        7    0.000    0.000    0.000    0.000 six.py:195(load_module)
        7    0.000    0.000    0.000    0.000 six.py:209(is_package)
        7    0.000    0.000    0.315    0.045 __init__.py:4(<module>)
        7    0.000    0.000    0.000    0.000 specifiers.py:266(_require_version_compare)
        7    0.000    0.000    0.000    0.000 pyparsing.py:4197(__str__)
        7    0.000    0.000    0.000    0.000 pyparsing.py:4825(tokenMap)
        7    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
        7    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
        7    0.000    0.000    0.070    0.010 __init__.py:3(<module>)
        7    0.000    0.000    0.003    0.000 _version.py:7(<module>)
        7    0.000    0.000    0.000    0.000 __init__.py:1356(debug)
        7    0.000    0.000    0.025    0.004 __init__.py:2(<module>)
        7    0.000    0.000    0.000    0.000 _parser.py:315(_convert)
        7    0.000    0.000    0.000    0.000 {pandas._libs.tslibs.offsets.apply_index_wraps}
        7    0.000    0.000    0.000    0.000 config.py:785(inner)
        7    0.000    0.000    0.000    0.000 config.py:795(<listcomp>)
        7    0.000    0.000    0.000    0.000 config.py:796(<listcomp>)
        7    0.000    0.000    0.000    0.000 config.py:798(inner)
        7    0.000    0.000    0.000    0.000 config.py:793(is_one_of_factory)
        7    0.000    0.000    0.016    0.002 common.py:1(<module>)
        7    0.000    0.000    0.000    0.000 accessor.py:163(__init__)
        7    0.000    0.000    0.000    0.000 offsets.py:2244(__init__)
        7    0.000    0.000    0.000    0.000 base.py:5263(_add_logical_methods_disabled)
        7    0.000    0.000    0.000    0.000 pyparsing.py:3707(__init__)
        7    0.000    0.000    0.000    0.000 pyparsing.py:4775(__init__)
        7    0.000    0.000    0.000    0.000 pyparsing.py:5750(tokenMap)
        7    0.000    0.000    0.000    0.000 rrule.py:69(__init__)
        7    0.000    0.000    0.003    0.000 ops.py:307(inject_binary_ops)
        7    0.000    0.000    0.000    0.000 docstring.py:39(__init__)
        7    0.000    0.000    0.000    0.000 legend_handler.py:138(__init__)
        7    0.000    0.000    0.000    0.000 _threadsafety.py:27(__init__)
        7    0.000    0.000    0.000    0.000 nonlin.py:1509(<listcomp>)
        7    0.000    0.000    0.000    0.000 nonlin.py:1512(<listcomp>)
        7    0.000    0.000    0.002    0.000 nonlin.py:1498(_nonlin_wrapper)
        7    0.000    0.000    0.006    0.001 manage_plugins.py:82(_set_plugin)
        7    0.000    0.000    0.006    0.001 manage_plugins.py:282(_load)
        7    0.000    0.000    0.000    0.000 misc.py:16(<genexpr>)
        6    0.000    0.000    0.000    0.000 {method 'copy' of 'mappingproxy' objects}
        6    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        6    0.000    0.000    0.001    0.000 warnings.py:130(filterwarnings)
        6    0.000    0.000    0.000    0.000 gettext.py:211(_expand_lang)
        6    0.000    0.000    0.000    0.000 __init__.py:1890(has_metadata)
        6    0.000    0.000    0.001    0.000 __init__.py:2329(normalize_path)
        6    0.000    0.000    0.000    0.000 __init__.py:2334(_cygwin_patch)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        6    0.000    0.000    0.000    0.000 opcode.py:51(jabs_op)
        6    0.000    0.000    0.029    0.005 __init__.py:35(load_module)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3098(__init__)
      6/2    0.000    0.000    0.001    0.000 pyparsing.py:4183(streamline)
        6    0.000    0.000    0.000    0.000 pyparsing.py:4296(postParse)
        6    0.000    0.000    0.000    0.000 pyparsing.py:4781(<lambda>)
        6    0.000    0.000    0.000    0.000 _type_aliases.py:113(<genexpr>)
        6    0.000    0.000    0.000    0.000 numeric.py:2656(seterr)
        6    0.000    0.000    0.000    0.000 numeric.py:2758(geterr)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
        6    0.000    0.000    0.000    0.000 core.py:844(__init__)
        6    0.000    0.000    0.000    0.000 core.py:1144(__init__)
        6    0.000    0.000    0.000    0.000 case.py:430(addTypeEqualityFunc)
        6    0.000    0.000    0.000    0.000 __init__.py:275(u)
        6    0.000    0.000    0.000    0.000 _common.py:13(tzname_in_python2)
        6    0.000    0.000    0.000    0.000 ops.py:1607(_comp_method_SERIES)
        6    0.000    0.000    0.000    0.000 categorical.py:55(_cat_compare_op)
        6    0.000    0.000    0.000    0.000 nanops.py:91(__init__)
        6    0.000    0.000    0.000    0.000 nanops.py:94(__call__)
        6    0.000    0.000    0.000    0.000 nanops.py:1176(make_nancomp)
        6    0.000    0.000    0.003    0.000 __init__.py:299(loads)
        6    0.000    0.000    0.003    0.000 decoder.py:332(decode)
        6    0.002    0.000    0.003    0.000 decoder.py:343(raw_decode)
        6    0.000    0.000    0.000    0.000 datetimes.py:126(_dt_array_cmp)
        6    0.000    0.000    0.000    0.000 base.py:66(_make_comparison_op)
        6    0.000    0.000    0.000    0.000 period.py:44(_period_array_cmp)
        6    0.000    0.000    0.000    0.000 timedeltas.py:60(_td_array_cmp)
        6    0.000    0.000    0.000    0.000 integer.py:530(_create_comparison_method)
        6    0.000    0.000    0.000    0.000 groupby.py:1239(groupby_function)
        6    0.000    0.000    0.000    0.000 generic.py:263(set_axis)
        6    0.000    0.000    0.000    0.000 generic.py:10908(_make_min_count_stat_function)
        6    0.000    0.000    0.000    0.000 generic.py:11016(_make_logical_function)
        6    0.000    0.000    0.000    0.000 category.py:798(_make_compare)
        6    0.000    0.000    0.000    0.000 pyparsing.py:2243(<genexpr>)
        6    0.000    0.000    0.000    0.000 pyparsing.py:2414(__call__)
        6    0.000    0.000    0.000    0.000 pyparsing.py:5166(postParse)
        6    0.000    0.000    0.000    0.000 pyparsing.py:5705(<lambda>)
        6    0.000    0.000    0.039    0.007 api.py:3(<module>)
        6    0.000    0.000    0.000    0.000 utils.py:538(__init__)
        6    0.000    0.000    0.000    0.000 reduction.py:43(register)
        6    0.000    0.000    0.000    0.000 _version.py:151(__ge__)
        6    0.000    0.000    0.000    0.000 patches.py:1816(<listcomp>)
        6    0.000    0.000    0.000    0.000 patches.py:1822(<listcomp>)
        6    0.000    0.000    0.000    0.000 patches.py:1825(<listcomp>)
        6    0.000    0.000    0.000    0.000 patches.py:1829(<listcomp>)
        6    0.000    0.000    0.000    0.000 patches.py:1834(<listcomp>)
        6    0.000    0.000    0.000    0.000 patches.py:1807(_pprint_table)
        6    0.000    0.000    0.003    0.001 patches.py:1844(_pprint_styles)
        6    0.000    0.000    0.000    0.000 scale.py:556(get_scale_names)
        6    0.000    0.000    0.002    0.000 _threadsafety.py:43(decorate)
        6    0.000    0.000    0.002    0.000 _threadsafety.py:54(decorator)
        6    0.000    0.000    0.000    0.000 _threadsafety.py:50(non_reentrant)
        6    0.000    0.000    0.000    0.000 compressor.py:48(register_compressor)
        6    0.000    0.000    0.000    0.000 connection.py:117(__init__)
        6    0.000    0.000    0.000    0.000 cloudpickle.py:205(_make__new__factory)
        6    0.000    0.000    0.000    0.000 imp.py:107(<listcomp>)
        6    0.000    0.000    0.000    0.000 imp.py:108(<listcomp>)
        6    0.000    0.000    0.000    0.000 imp.py:109(<listcomp>)
        6    0.000    0.000    0.000    0.000 imp.py:105(get_suffixes)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        5    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        5    0.030    0.006    0.030    0.006 {built-in method posix.fork}
        5    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISREG}
        5    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedWriter' objects}
        5    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
        5    0.000    0.000    0.000    0.000 __init__.py:42(__getattr__)
        5    0.000    0.000    0.000    0.000 weakref.py:356(__init__)
        5    0.000    0.000    0.000    0.000 datetime.py:46(_days_in_month)
        5    0.000    0.000    0.000    0.000 datetime.py:396(_check_date_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:409(_check_time_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:426(_check_tzinfo_arg)
        5    0.000    0.000    0.000    0.000 dis.py:436(findlinestarts)
        5    0.000    0.000    0.007    0.001 six.py:114(_resolve)
        5    0.000    0.000    0.000    0.000 pyparsing.py:3032(__str__)
        5    0.000    0.000    0.000    0.000 pyparsing.py:4003(parseImpl)
        5    0.000    0.000    0.000    0.000 pyparsing.py:4292(__init__)
        5    0.000    0.000    0.000    0.000 typing.py:279(__init_subclass__)
        5    0.000    0.000    0.000    0.000 typing.py:300(__new__)
        5    0.000    0.000    0.000    0.000 typing.py:313(__init__)
        5    0.000    0.000    0.000    0.000 typing.py:821(__class_getitem__)
        5    0.000    0.000    0.000    0.000 _inspect.py:145(<lambda>)
        5    0.000    0.000    0.002    0.000 utils.py:1(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:1164(__init__)
        5    0.000    0.000    0.000    0.000 config.py:743(is_type_factory)
        5    0.000    0.000    0.002    0.000 config.py:765(is_instance_factory)
        5    0.000    0.000    0.004    0.001 ops.py:1368(add_special_arithmetic_methods)
        5    0.000    0.000    0.012    0.002 ops.py:1421(add_flex_arithmetic_methods)
        5    0.000    0.000    0.000    0.000 base.py:5021(_add_numeric_methods_disabled)
        5    0.000    0.000    0.000    0.000 base.py:5130(_add_numeric_methods_unary)
        5    0.000    0.000    0.000    0.000 generic.py:3028(_create_indexer)
        5    0.000    0.000    0.000    0.000 datetimelike.py:34(ea_passthrough)
        5    0.000    0.000    0.000    0.000 _compat.py:9(_mpl_version)
        5    0.000    0.000    0.000    0.000 rcsetup.py:509(validate_ps_distiller)
        5    0.000    0.000    0.000    0.000 rcsetup.py:577(validate_svg_fonttype)
        5    0.000    0.000    0.000    0.000 pyparsing.py:1490(_setResultsName)
        5    0.000    0.000    0.000    0.000 pyparsing.py:3622(__str__)
        5    0.000    0.000    0.000    0.000 pyparsing.py:4785(__str__)
        5    0.000    0.000    0.000    0.000 process.py:189(daemon)
        5    0.000    0.000    0.000    0.000 reportviews.py:171(__len__)
        5    0.000    0.000    0.003    0.001 context.py:217(BoundedSemaphore)
        5    0.000    0.000    0.009    0.002 context.py:222(Lock)
        5    0.000    0.000    0.000    0.000 _regionprops.py:87(only2d)
        5    0.000    0.000    0.000    0.000 misc.py:11(<genexpr>)
        5    0.000    0.000    0.002    0.000 synchronize.py:155(__init__)
        5    0.000    0.000    0.007    0.001 synchronize.py:173(__init__)
        5    0.000    0.000    0.030    0.006 fork_exec.py:36(fork_exec)
        4    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {built-in method posix.access}
        4    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
        4    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:864(_resolve_name)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:929(_sanity_check)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:994(_gcd_import)
        4    0.000    0.000    0.001    0.000 os.py:1025(fdopen)
        4    0.000    0.000    0.000    0.000 __init__.py:109(import_module)
        4    0.000    0.000    0.000    0.000 weakref.py:432(get)
        4    0.000    0.000    0.000    0.000 re.py:205(split)
        4    0.000    0.000    0.000    0.000 enum.py:793(_missing_)
        4    0.000    0.000    0.000    0.000 enum.py:800(_create_pseudo_member_)
        4    0.000    0.000    0.000    0.000 enum.py:890(<listcomp>)
        4    0.000    0.000    0.000    0.000 enum.py:872(_decompose)
        4    0.000    0.000    0.000    0.000 sre_parse.py:162(__delitem__)
        4    0.000    0.000    0.000    0.000 argparse.py:605(<listcomp>)
        4    0.000    0.000    0.000    0.000 __init__.py:1884(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:1893(get_metadata)
        4    0.000    0.000    0.000    0.000 __init__.py:1902(_warn_on_replacement)
        4    0.000    0.000    0.000    0.000 __init__.py:1910(get_metadata_lines)
        4    0.000    0.000    0.000    0.000 __init__.py:1957(register_finder)
        4    0.000    0.000    0.000    0.000 __init__.py:2173(register_namespace_handler)
        4    0.000    0.000    0.000    0.000 argparse.py:2109(_parse_optional)
        4    0.000    0.000    0.000    0.000 __init__.py:137(_declare_state)
        4    0.000    0.000    0.000    0.000 __init__.py:344(register_loader_type)
        4    0.000    0.000    0.000    0.000 {built-in method math.log}
        4    0.000    0.000    0.000    0.000 random.py:88(__init__)
        4    0.000    0.000    0.000    0.000 random.py:97(seed)
        4    0.000    0.000    0.000    0.000 {function Random.seed at 0x8019fea70}
        4    0.000    0.000    0.000    0.000 pyparsing.py:666(<lambda>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:668(<listcomp>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:1841(__radd__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:2020(__invert__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3015(parseImpl)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3353(setResultsName)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3829(__init__)
      4/3    0.000    0.000    0.001    0.000 pyparsing.py:3859(parseImpl)
        4    0.000    0.000    0.000    0.000 pyparsing.py:4383(postParse)
        4    0.000    0.000    0.000    0.000 typing.py:241(_tp_cache)
        4    0.000    0.000    0.000    0.000 numeric.py:175(ones)
        4    0.000    0.000    0.000    0.000 numeric.py:3083(extend_all)
        4    0.000    0.000    0.000    0.000 __init__.py:497(cast)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 {built-in method numpy.copyto}
        4    0.000    0.000    0.000    0.000 shape_base.py:25(atleast_1d)
        4    0.000    0.000    0.000    0.000 ufunclike.py:16(_deprecate_out_named_y)
        4    0.000    0.000    0.000    0.000 function_base.py:1573(trim_zeros)
        4    0.000    0.000    0.000    0.000 mixins.py:55(_unary_method)
        4    0.000    0.000    0.000    0.000 polynomial.py:1140(_coeffs)
        4    0.000    0.000    0.000    0.000 polynomial.py:1149(__init__)
        4    0.000    0.000    0.000    0.000 core.py:123(doc_note)
        4    0.000    0.000    0.000    0.000 core.py:3349(dtype)
        4    0.000    0.000    0.000    0.000 core.py:6259(__has_singleton)
        4    0.000    0.000    0.000    0.000 util.py:1(<module>)
        4    0.000    0.000    0.117    0.029 __init__.py:9(<module>)
        4    0.000    0.000    0.000    0.000 ssl.py:367(__new__)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        4    0.000    0.000    0.000    0.000 isoparser.py:22(_takes_ascii)
        4    0.000    0.000    0.000    0.000 fractions.py:294(_operator_fallbacks)
        4    0.000    0.000    0.000    0.000 config.py:222(__init__)
        4    0.000    0.000    0.000    0.000 config.py:561(_get_deprecated_option)
        4    0.000    0.000    0.009    0.002 base.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _version.py:20(get_versions)
        4    0.000    0.000    0.000    0.000 offsets.py:2223(_tick_comp)
        4    0.000    0.000    0.000    0.000 base.py:5152(_add_numeric_methods)
        4    0.000    0.000    0.001    0.000 base.py:5157(_add_logical_methods)
        4    0.000    0.000    0.000    0.000 strings.py:1750(_pat_wrapper)
        4    0.000    0.000    0.000    0.000 timedeltas.py:45(_field_accessor)
        4    0.000    0.000    0.000    0.000 generic.py:10243(<listcomp>)
        4    0.000    0.000    0.000    0.000 generic.py:10241(_doc_parms)
        4    0.000    0.000    0.000    0.000 datetimes.py:231(_join_i8_wrapper)
        4    0.000    0.000    0.000    0.000 interval.py:1096(_setop)
        4    0.000    0.000    0.000    0.000 timedeltas.py:154(_join_i8_wrapper)
        4    0.000    0.000    0.000    0.000 __init__.py:218(_is_writable_dir)
        4    0.000    0.000    0.000    0.000 __init__.py:395(_wrap)
        4    0.000    0.000    0.000    0.000 __init__.py:649(_get_config_or_cache_dir)
        4    0.000    0.000    0.000    0.000 __init__.py:828(gen_candidates)
        4    0.000    0.000    0.000    0.000 __init__.py:1157(__init__)
        4    0.000    0.000    0.000    0.000 rcsetup.py:169(validate_float_or_None)
        4    0.000    0.000    0.000    0.000 rcsetup.py:206(validate_dpi)
        4    0.000    0.000    0.000    0.000 rcsetup.py:225(validate_int_or_None)
        4    0.000    0.000    0.000    0.000 rcsetup.py:264(validate_backend)
        4    0.000    0.000    0.000    0.000 rcsetup.py:339(<listcomp>)
        4    0.000    0.000    0.000    0.000 rcsetup.py:327(__call__)
        4    0.000    0.000    0.000    0.000 rcsetup.py:351(validate_color_or_auto)
        4    0.000    0.000    0.000    0.000 rcsetup.py:428(validate_aspect)
        4    0.000    0.000    0.000    0.000 rcsetup.py:476(validate_whiskers)
        4    0.000    0.000    0.000    0.000 rcsetup.py:492(update_savefig_format)
        4    0.000    0.000    0.000    0.000 rcsetup.py:588(validate_hinting)
        4    0.000    0.000    0.000    0.000 rcsetup.py:612(validate_bbox)
        4    0.000    0.000    0.000    0.000 rcsetup.py:625(validate_sketch)
        4    0.000    0.000    0.000    0.000 rcsetup.py:870(validate_hist_bins)
        4    0.000    0.000    0.000    0.000 fontconfig_pattern.py:160(_property)
        4    0.000    0.000    0.000    0.000 pyparsing.py:493(__init__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:602(__setitem__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:639(__len__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:2176(__radd__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:2367(__invert__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3606(parseImpl)
        4    0.000    0.000    0.000    0.000 pyparsing.py:4650(__init__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:5259(postParse)
        4    0.000    0.000    0.000    0.000 pyparsing.py:6699(__init__)
        4    0.000    0.000    0.000    0.000 rrule.py:79(_invalidates_cache)
        4    0.000    0.000    0.000    0.000 utils.py:46(alias_message)
        4    0.000    0.000    0.000    0.000 utils.py:56(alias)
        4    0.000    0.000    0.000    0.000 uuid.py:121(__init__)
        4    0.000    0.000    0.000    0.000 ops.py:217(_values_method_wrapper)
        4    0.000    0.000    0.000    0.000 plot.py:461(_plot2d)
        4    0.000    0.000    0.000    0.000 process.py:53(_cleanup)
        4    0.000    0.000    0.000    0.000 process.py:72(__init__)
